,epoch,reconstruction_err,DA_MAE,DA_ratio_improve_MAE,time_DA(s),time_epoch(s)
0,0,10687.121337890625,NO_CALC,NO_CALC,NO_CALC,0.9363832473754883
1,1,8053.09375,NO_CALC,NO_CALC,NO_CALC,0.8479816913604736
2,2,6984.9744873046875,NO_CALC,NO_CALC,NO_CALC,0.843177080154419
3,3,5835.739990234375,NO_CALC,NO_CALC,NO_CALC,0.8440396785736084
4,4,4671.9932861328125,NO_CALC,NO_CALC,NO_CALC,0.839439868927002
5,5,3899.2747802734375,NO_CALC,NO_CALC,NO_CALC,0.8453562259674072
6,6,3304.0458984375,NO_CALC,NO_CALC,NO_CALC,0.8301692008972168
7,7,2781.3442993164062,NO_CALC,NO_CALC,NO_CALC,0.8378570079803467
8,8,2486.828125,NO_CALC,NO_CALC,NO_CALC,0.8270454406738281
9,9,2309.5184326171875,NO_CALC,NO_CALC,NO_CALC,0.8501334190368652
10,10,2187.7479858398438,NO_CALC,NO_CALC,NO_CALC,0.8306217193603516
11,11,2091.8876342773438,NO_CALC,NO_CALC,NO_CALC,0.842217206954956
12,12,1990.5298767089844,NO_CALC,NO_CALC,NO_CALC,0.8350598812103271
13,13,1900.9873046875,NO_CALC,NO_CALC,NO_CALC,0.8282561302185059
14,14,1849.1124877929688,NO_CALC,NO_CALC,NO_CALC,0.8294148445129395
15,15,1774.5811767578125,NO_CALC,NO_CALC,NO_CALC,0.8295984268188477
16,16,1743.8049926757812,NO_CALC,NO_CALC,NO_CALC,0.8415670394897461
17,17,1681.8714904785156,NO_CALC,NO_CALC,NO_CALC,0.8339507579803467
18,18,1607.9334259033203,NO_CALC,NO_CALC,NO_CALC,0.8448772430419922
19,19,1526.4510498046875,NO_CALC,NO_CALC,NO_CALC,0.8374021053314209
20,20,1429.0700073242188,NO_CALC,NO_CALC,NO_CALC,0.829646110534668
21,21,1341.6191101074219,NO_CALC,NO_CALC,NO_CALC,0.8483407497406006
22,22,1256.8720092773438,NO_CALC,NO_CALC,NO_CALC,0.9105885028839111
23,23,1143.8838500976562,NO_CALC,NO_CALC,NO_CALC,0.8320000171661377
24,24,1106.1905059814453,NO_CALC,NO_CALC,NO_CALC,0.8449416160583496
25,25,1042.0916137695312,NO_CALC,NO_CALC,NO_CALC,0.8357174396514893
26,26,980.9869995117188,NO_CALC,NO_CALC,NO_CALC,0.8682029247283936
27,27,928.8549652099609,NO_CALC,NO_CALC,NO_CALC,0.8219664096832275
28,28,869.85009765625,NO_CALC,NO_CALC,NO_CALC,0.8204836845397949
29,29,755.987060546875,NO_CALC,NO_CALC,NO_CALC,0.8435451984405518
30,30,816.583381652832,NO_CALC,NO_CALC,NO_CALC,0.8279342651367188
31,31,770.3915710449219,NO_CALC,NO_CALC,NO_CALC,0.8647511005401611
32,32,715.5393371582031,NO_CALC,NO_CALC,NO_CALC,0.9462063312530518
33,33,655.3445587158203,NO_CALC,NO_CALC,NO_CALC,0.8414332866668701
34,34,673.3259582519531,NO_CALC,NO_CALC,NO_CALC,0.8332235813140869
35,35,646.6469573974609,NO_CALC,NO_CALC,NO_CALC,0.8352072238922119
36,36,600.9660034179688,NO_CALC,NO_CALC,NO_CALC,0.8405466079711914
37,37,569.9734497070312,NO_CALC,NO_CALC,NO_CALC,0.8297057151794434
38,38,563.8918685913086,NO_CALC,NO_CALC,NO_CALC,0.8373267650604248
39,39,563.0197372436523,NO_CALC,NO_CALC,NO_CALC,0.8466432094573975
40,40,548.6516418457031,NO_CALC,NO_CALC,NO_CALC,0.8551883697509766
41,41,513.589111328125,NO_CALC,NO_CALC,NO_CALC,0.8694548606872559
42,42,546.1006546020508,NO_CALC,NO_CALC,NO_CALC,0.858544111251831
43,43,552.7571868896484,NO_CALC,NO_CALC,NO_CALC,0.821415901184082
44,44,523.3072280883789,NO_CALC,NO_CALC,NO_CALC,0.8378586769104004
45,45,497.2130889892578,NO_CALC,NO_CALC,NO_CALC,0.8458271026611328
46,46,481.0214538574219,NO_CALC,NO_CALC,NO_CALC,0.8193478584289551
47,47,468.60304260253906,NO_CALC,NO_CALC,NO_CALC,0.8258707523345947
48,48,456.97764587402344,NO_CALC,NO_CALC,NO_CALC,0.8254837989807129
49,49,459.23004150390625,NO_CALC,NO_CALC,NO_CALC,0.8314025402069092
50,50,431.9286193847656,NO_CALC,NO_CALC,NO_CALC,0.8245127201080322
51,51,440.10526275634766,NO_CALC,NO_CALC,NO_CALC,0.8589539527893066
52,52,404.9501419067383,NO_CALC,NO_CALC,NO_CALC,0.8458356857299805
53,53,391.2660827636719,NO_CALC,NO_CALC,NO_CALC,0.8274645805358887
54,54,389.956787109375,NO_CALC,NO_CALC,NO_CALC,0.8683326244354248
55,55,360.92579650878906,NO_CALC,NO_CALC,NO_CALC,0.8225219249725342
56,56,356.4540023803711,NO_CALC,NO_CALC,NO_CALC,0.8313837051391602
57,57,328.77652740478516,NO_CALC,NO_CALC,NO_CALC,0.8276324272155762
58,58,328.902099609375,NO_CALC,NO_CALC,NO_CALC,0.8569967746734619
59,59,323.7903137207031,NO_CALC,NO_CALC,NO_CALC,0.8497774600982666
60,60,317.3840866088867,NO_CALC,NO_CALC,NO_CALC,0.8295707702636719
61,61,283.65081787109375,NO_CALC,NO_CALC,NO_CALC,0.8384313583374023
62,62,271.47987365722656,NO_CALC,NO_CALC,NO_CALC,0.8105227947235107
63,63,276.51885986328125,NO_CALC,NO_CALC,NO_CALC,0.8154687881469727
64,64,304.60681915283203,NO_CALC,NO_CALC,NO_CALC,0.8434610366821289
65,65,334.83458709716797,NO_CALC,NO_CALC,NO_CALC,0.8405013084411621
66,66,341.23585510253906,NO_CALC,NO_CALC,NO_CALC,0.8239703178405762
67,67,249.67213439941406,NO_CALC,NO_CALC,NO_CALC,0.8153219223022461
68,68,251.3809051513672,NO_CALC,NO_CALC,NO_CALC,0.8244116306304932
69,69,371.16500091552734,NO_CALC,NO_CALC,NO_CALC,0.8183157444000244
70,70,408.1759948730469,NO_CALC,NO_CALC,NO_CALC,0.8246221542358398
71,71,320.1991882324219,NO_CALC,NO_CALC,NO_CALC,0.8316082954406738
72,72,468.88633728027344,NO_CALC,NO_CALC,NO_CALC,0.8200888633728027
73,73,322.07422256469727,NO_CALC,NO_CALC,NO_CALC,0.8282272815704346
74,74,501.3386688232422,NO_CALC,NO_CALC,NO_CALC,0.8290367126464844
75,75,314.4583969116211,NO_CALC,NO_CALC,NO_CALC,0.8209009170532227
76,76,292.42745208740234,NO_CALC,NO_CALC,NO_CALC,0.8407008647918701
77,77,278.7862548828125,NO_CALC,NO_CALC,NO_CALC,0.8960649967193604
78,78,224.31415557861328,NO_CALC,NO_CALC,NO_CALC,0.814544677734375
79,79,235.4433479309082,NO_CALC,NO_CALC,NO_CALC,0.8335773944854736
80,80,218.75244140625,NO_CALC,NO_CALC,NO_CALC,0.8398101329803467
81,81,192.1197052001953,NO_CALC,NO_CALC,NO_CALC,0.8224225044250488
82,82,185.17809677124023,NO_CALC,NO_CALC,NO_CALC,0.8205904960632324
83,83,182.17266845703125,NO_CALC,NO_CALC,NO_CALC,0.8387641906738281
84,84,177.5919418334961,NO_CALC,NO_CALC,NO_CALC,0.8141379356384277
85,85,172.56002807617188,NO_CALC,NO_CALC,NO_CALC,0.8056776523590088
86,86,159.07529830932617,NO_CALC,NO_CALC,NO_CALC,0.8286840915679932
87,87,157.51694869995117,NO_CALC,NO_CALC,NO_CALC,0.8358652591705322
88,88,158.88043212890625,NO_CALC,NO_CALC,NO_CALC,0.8289215564727783
89,89,155.6775665283203,NO_CALC,NO_CALC,NO_CALC,0.8100011348724365
90,90,151.2209014892578,NO_CALC,NO_CALC,NO_CALC,0.8225266933441162
91,91,151.1152687072754,NO_CALC,NO_CALC,NO_CALC,0.8241078853607178
92,92,156.8202896118164,NO_CALC,NO_CALC,NO_CALC,0.8149700164794922
93,93,156.20902633666992,NO_CALC,NO_CALC,NO_CALC,0.8218483924865723
94,94,150.2111701965332,NO_CALC,NO_CALC,NO_CALC,0.8370788097381592
95,95,142.99760055541992,NO_CALC,NO_CALC,NO_CALC,0.8285231590270996
96,96,151.6418800354004,NO_CALC,NO_CALC,NO_CALC,0.855398416519165
97,97,147.85381507873535,NO_CALC,NO_CALC,NO_CALC,0.8191068172454834
98,98,144.9879264831543,NO_CALC,NO_CALC,NO_CALC,0.8610773086547852
99,99,140.04676055908203,NO_CALC,NO_CALC,NO_CALC,0.8464078903198242
100,100,138.24200439453125,NO_CALC,NO_CALC,NO_CALC,0.8400018215179443
101,101,138.36017990112305,NO_CALC,NO_CALC,NO_CALC,0.8678178787231445
102,102,138.403076171875,NO_CALC,NO_CALC,NO_CALC,0.8469486236572266
103,103,136.03131675720215,NO_CALC,NO_CALC,NO_CALC,0.8259210586547852
104,104,136.55519104003906,NO_CALC,NO_CALC,NO_CALC,0.8303935527801514
105,105,130.9547996520996,NO_CALC,NO_CALC,NO_CALC,0.8272299766540527
106,106,138.02679061889648,NO_CALC,NO_CALC,NO_CALC,0.8293375968933105
107,107,131.84051895141602,NO_CALC,NO_CALC,NO_CALC,0.8717906475067139
108,108,132.06269073486328,NO_CALC,NO_CALC,NO_CALC,0.8569083213806152
109,109,126.19430541992188,NO_CALC,NO_CALC,NO_CALC,0.8827040195465088
110,110,126.29352951049805,NO_CALC,NO_CALC,NO_CALC,0.8212730884552002
111,111,126.26363754272461,NO_CALC,NO_CALC,NO_CALC,0.8166859149932861
112,112,121.96922302246094,NO_CALC,NO_CALC,NO_CALC,0.8512001037597656
113,113,119.27761840820312,NO_CALC,NO_CALC,NO_CALC,0.8458220958709717
114,114,118.68022918701172,NO_CALC,NO_CALC,NO_CALC,0.8081684112548828
115,115,116.61799049377441,NO_CALC,NO_CALC,NO_CALC,0.810265302658081
116,116,114.57995986938477,NO_CALC,NO_CALC,NO_CALC,0.8378920555114746
117,117,113.01378440856934,NO_CALC,NO_CALC,NO_CALC,0.8577520847320557
118,118,113.48997116088867,NO_CALC,NO_CALC,NO_CALC,0.8221027851104736
119,119,108.19157791137695,NO_CALC,NO_CALC,NO_CALC,0.8603348731994629
120,120,101.9260482788086,NO_CALC,NO_CALC,NO_CALC,0.8206832408905029
121,121,106.50438690185547,NO_CALC,NO_CALC,NO_CALC,0.8406627178192139
122,122,100.91933059692383,NO_CALC,NO_CALC,NO_CALC,0.8153502941131592
123,123,96.6268081665039,NO_CALC,NO_CALC,NO_CALC,0.8127033710479736
124,124,96.06024932861328,NO_CALC,NO_CALC,NO_CALC,0.8279569149017334
125,125,88.84488296508789,NO_CALC,NO_CALC,NO_CALC,0.8369653224945068
126,126,89.62138366699219,NO_CALC,NO_CALC,NO_CALC,0.8480391502380371
127,127,86.62570381164551,NO_CALC,NO_CALC,NO_CALC,0.8313572406768799
128,128,84.72877883911133,NO_CALC,NO_CALC,NO_CALC,0.8163454532623291
129,129,82.17877388000488,NO_CALC,NO_CALC,NO_CALC,0.8373587131500244
130,130,76.37367248535156,NO_CALC,NO_CALC,NO_CALC,0.8438334465026855
131,131,76.86974716186523,NO_CALC,NO_CALC,NO_CALC,0.8670392036437988
132,132,74.43626403808594,NO_CALC,NO_CALC,NO_CALC,0.8170599937438965
