,percent_improvement,ref_MAE_mean,da_MAE_mean,counts,mse_ref,mse_DA,mse_ref_points,mse_da_points,mse_ref_overlap,mse_da_overlap,mse_percent_points,mse_percent_overlap,time_overlap,time_saving_uc,time_saving_da,time_saving_u0,l1_loss,l2_loss,time,time_online
35,93.30411814526605,0.007499002648280074,0.0005021243576122046,13661,0.8959718364573245,0.05963979051841935,3.441809451664584e-05,2.2910183819306756e-06,0.8965081128495914,0.059330344674329606,93.3435641510524,93.38206271377229,-0.0030088424682617188,2.384185791015625e-07,2.384185791015625e-07,0.0,6303.281,4993.2476,0.03235912322998047,0.015261173248291016
36,93.58963414404658,0.0074991899487068326,0.0004807255119449926,13332,0.8970398434897312,0.05651161836261426,3.4459121215800984e-05,2.170851965373934e-06,0.897581246365765,0.056093178685604095,93.70021089110506,93.75062938171659,-0.003000020980834961,0.0,4.76837158203125e-07,2.384185791015625e-07,6072.585,4777.1494,0.024004220962524414,0.015830516815185547
37,92.8695033015117,0.007501411236942523,0.0005348878805902169,13348,0.8984829557649683,0.06271390998675987,3.451455730504641e-05,2.4091084045313407e-06,0.8990305694794452,0.06224975378515519,93.02002229598611,93.0759024333067,-0.0029296875,2.384185791015625e-07,4.76837158203125e-07,0.0,5683.983,4219.4463,0.04066896438598633,0.03302788734436035
38,92.6387886399143,0.007505938055452218,0.000552527964818945,13573,0.9003704385768704,0.06478778127626525,3.458706355934505e-05,2.488774634152783e-06,0.9009253615142517,0.0642378849442342,92.80431936674097,92.86978836556838,-0.0029382705688476562,2.384185791015625e-07,0.0,2.384185791015625e-07,5256.166,3622.5852,0.023423433303833008,0.015566825866699219
39,92.4490466100148,0.007512338807056122,0.000567253201818578,13326,0.9027035546910541,0.06810378296483428,3.4676688486902815e-05,2.616156383099043e-06,0.903266681798485,0.06748481689512359,92.45557607357128,92.5288048087022,-0.002930879592895508,2.384185791015625e-07,0.0,2.384185791015625e-07,4914.229,3147.7422,0.021381855010986328,0.014911651611328125
40,92.59920359183273,0.007520303165753143,0.0005565623265743482,13442,0.9053976941429536,0.06913656793151525,3.478018185859533e-05,2.6558300526857424e-06,0.9059695038388336,0.06844097434170268,92.36395581977268,92.44555428723592,-0.002911806106567383,2.384185791015625e-07,2.384185791015625e-07,0.0,4728.1577,2866.6646,0.022619962692260742,0.01489710807800293
41,92.1633596597496,0.007529630966365794,0.0005900700977822078,13987,0.9083787120507821,0.07422866299257015,3.489469545370245e-05,2.8514391131134815e-06,0.9089593036582494,0.07349745848732835,91.82844533806947,91.91410900449269,-0.0029554367065429688,4.76837158203125e-07,2.384185791015625e-07,2.384185791015625e-07,4688.8843,2781.0962,0.042061567306518555,0.0340266227722168
42,91.81313487753678,0.007539711093838525,0.0006172659778759558,13958,0.9115892752583088,0.08018629416898819,3.5018026861490045e-05,3.0802971023735477e-06,0.9121784210987445,0.07945098190972097,91.203681707832,91.2899735323688,-0.0029420852661132812,2.384185791015625e-07,2.384185791015625e-07,0.0,4734.4824,2826.1145,0.04300212860107422,0.03543996810913086
43,91.5781158943082,0.007551222092065655,0.000635955173157165,13501,0.9148819656939812,0.08903183012623639,3.5144513125921217e-05,3.420091814929179e-06,0.9154789785287695,0.08833316179442802,90.26848998398371,90.35115345451354,-0.0029277801513671875,2.384185791015625e-07,0.0,2.384185791015625e-07,4800.583,2941.0916,0.022882461547851562,0.01634693145751953
44,90.86561815844445,0.007562481139539643,0.000690785903981173,13555,0.9181076600721987,0.09972229035746058,3.526842578642435e-05,3.830757927069014e-06,0.9187114089319081,0.09907859871824314,89.13827923518048,89.2154818417427,-0.0029299259185791016,2.384185791015625e-07,2.384185791015625e-07,0.0,4873.081,3066.1658,0.022695302963256836,0.016058683395385742
45,90.04626087223572,0.00757299448055483,0.0007537961147544158,14007,0.9211587332641334,0.10755630445222468,3.538563050338558e-05,4.131695776437641e-06,0.9217678704150715,0.10695437237884604,88.32380342624576,88.39682138945842,-0.0029449462890625,2.384185791015625e-07,2.384185791015625e-07,4.76837158203125e-07,4920.4517,3168.3508,0.02474236488342285,0.01723790168762207
46,89.32577004938967,0.0075873876553934246,0.0008098952055809159,14326,0.9238998493847997,0.11815597420232087,3.549092844901658e-05,4.538874239486819e-06,0.9245128602901822,0.11762799266440661,87.21117074745734,87.27675971673492,-0.002921581268310547,4.76837158203125e-07,0.0,2.384185791015625e-07,4963.5596,3246.7952,0.025063753128051758,0.01801323890686035
47,88.56019215926881,0.007603812694716124,0.0008698615608446489,14689,0.926259401244106,0.12884970421336622,3.558156888614421e-05,4.949665957796797e-06,0.9268747226824289,0.12840692904203344,86.0892419509803,86.14624761041964,-0.002939462661743164,2.384185791015625e-07,2.384185791015625e-07,2.384185791015625e-07,5025.863,3325.553,0.023234128952026367,0.015380382537841797
48,88.14695955981183,0.007617248209110949,0.0009028755106554293,15177,0.9282260451489829,0.13560614077691543,3.5657116055200634e-05,5.209209464386733e-06,0.9288421923855695,0.13521387675625818,85.39082786077714,85.44275035472012,-0.002940654754638672,0.0,4.76837158203125e-07,2.384185791015625e-07,5104.646,3438.9458,0.02290940284729004,0.01554560661315918
49,87.0989329677628,0.007627830910155235,0.0009840715788248361,15534,0.9298248819007795,0.14584951486437153,3.571853418487936e-05,5.602701093437751e-06,0.9304405556936197,0.14551803351194384,84.31430286461887,84.36030839138736,-0.0029630661010742188,2.384185791015625e-07,0.0,2.384185791015625e-07,5223.72,3576.0667,0.04075169563293457,0.03305363655090332
50,87.59525155136707,0.0076354008767157274,0.0009471522718012991,15232,0.9311035533001922,0.1420521190248785,3.5767653399669336e-05,5.456826944717213e-06,0.9317177588543958,0.14172095648167085,84.74368199741149,84.78928246941162,-0.002931833267211914,4.76837158203125e-07,0.0,2.384185791015625e-07,5346.2065,3716.7686,0.04189610481262207,0.034139156341552734
51,87.75407106285853,0.00764115950716797,0.0009357309632214187,15127,0.9320884190391323,0.14069389136096444,3.580548628761264e-05,5.404651634947927e-06,0.9327003386199705,0.14038585377190843,84.9055209262226,84.94845043375622,-0.0029392242431640625,2.384185791015625e-07,4.76837158203125e-07,0.0,5435.079,3827.297,0.036084890365600586,0.028493165969848633
