,epoch,reconstruction_err,DA_MAE,DA_ratio_improve_MAE,time_DA(s),time_epoch(s)
0,0,8514.894409179688,NO_CALC,NO_CALC,NO_CALC,2.007578134536743
1,1,7213.94921875,NO_CALC,NO_CALC,NO_CALC,1.9434092044830322
2,2,4971.90380859375,NO_CALC,NO_CALC,NO_CALC,1.957871913909912
3,3,3927.990478515625,NO_CALC,NO_CALC,NO_CALC,2.058773994445801
4,4,2866.12646484375,NO_CALC,NO_CALC,NO_CALC,2.0130820274353027
5,5,2511.3623046875,NO_CALC,NO_CALC,NO_CALC,2.045030117034912
6,6,2372.3795166015625,NO_CALC,NO_CALC,NO_CALC,2.641512155532837
7,7,2226.970672607422,NO_CALC,NO_CALC,NO_CALC,3.233556032180786
8,8,2106.9598999023438,NO_CALC,NO_CALC,NO_CALC,2.303283929824829
9,9,2004.6439208984375,NO_CALC,NO_CALC,NO_CALC,3.7545053958892822
10,10,1951.1340942382812,NO_CALC,NO_CALC,NO_CALC,3.7110025882720947
11,11,1933.916748046875,NO_CALC,NO_CALC,NO_CALC,3.974550485610962
12,12,1892.3823852539062,NO_CALC,NO_CALC,NO_CALC,3.9088339805603027
13,13,1842.0098266601562,NO_CALC,NO_CALC,NO_CALC,3.7122960090637207
14,14,1850.8270263671875,NO_CALC,NO_CALC,NO_CALC,3.7308294773101807
15,15,1793.499267578125,NO_CALC,NO_CALC,NO_CALC,3.4405570030212402
16,16,1838.1356201171875,NO_CALC,NO_CALC,NO_CALC,3.245924234390259
17,17,1786.8878479003906,NO_CALC,NO_CALC,NO_CALC,4.2889015674591064
18,18,1698.7159423828125,NO_CALC,NO_CALC,NO_CALC,3.172968626022339
19,19,1630.8402709960938,NO_CALC,NO_CALC,NO_CALC,3.6772286891937256
20,20,1466.80908203125,NO_CALC,NO_CALC,NO_CALC,3.0923540592193604
21,21,1336.7215270996094,NO_CALC,NO_CALC,NO_CALC,3.6942691802978516
22,22,1392.4030151367188,NO_CALC,NO_CALC,NO_CALC,3.782567262649536
23,23,1158.7060852050781,NO_CALC,NO_CALC,NO_CALC,3.3880820274353027
24,24,1248.2245330810547,NO_CALC,NO_CALC,NO_CALC,3.55963134765625
25,25,958.0374145507812,NO_CALC,NO_CALC,NO_CALC,3.440396785736084
26,26,945.4949340820312,NO_CALC,NO_CALC,NO_CALC,3.7536678314208984
27,27,718.5319213867188,NO_CALC,NO_CALC,NO_CALC,3.2877652645111084
28,28,820.9427642822266,NO_CALC,NO_CALC,NO_CALC,3.6609947681427
29,29,845.4574890136719,NO_CALC,NO_CALC,NO_CALC,3.5236892700195312
30,30,1254.4072723388672,NO_CALC,NO_CALC,NO_CALC,3.5360355377197266
31,31,809.7530364990234,NO_CALC,NO_CALC,NO_CALC,3.439279556274414
32,32,723.2815093994141,NO_CALC,NO_CALC,NO_CALC,3.3241186141967773
33,33,727.5616149902344,NO_CALC,NO_CALC,NO_CALC,3.8176352977752686
34,34,923.8663635253906,NO_CALC,NO_CALC,NO_CALC,3.8641297817230225
35,35,670.1138916015625,NO_CALC,NO_CALC,NO_CALC,3.7951536178588867
36,36,591.6417999267578,NO_CALC,NO_CALC,NO_CALC,3.3316404819488525
37,37,580.5737457275391,NO_CALC,NO_CALC,NO_CALC,3.2501559257507324
38,38,570.0779418945312,NO_CALC,NO_CALC,NO_CALC,2.9669718742370605
39,39,557.2277374267578,NO_CALC,NO_CALC,NO_CALC,3.3044471740722656
40,40,545.9869537353516,NO_CALC,NO_CALC,NO_CALC,3.2987165451049805
41,41,539.8787384033203,NO_CALC,NO_CALC,NO_CALC,3.703871965408325
42,42,564.1115570068359,NO_CALC,NO_CALC,NO_CALC,3.7647812366485596
43,43,521.5146484375,NO_CALC,NO_CALC,NO_CALC,3.726834535598755
44,44,513.8648529052734,NO_CALC,NO_CALC,NO_CALC,3.5494070053100586
45,45,508.4347381591797,NO_CALC,NO_CALC,NO_CALC,3.7179832458496094
46,46,520.0914535522461,NO_CALC,NO_CALC,NO_CALC,3.284987449645996
47,47,485.0835418701172,NO_CALC,NO_CALC,NO_CALC,3.374069929122925
48,48,478.9358367919922,NO_CALC,NO_CALC,NO_CALC,3.9040653705596924
49,49,509.9380798339844,NO_CALC,NO_CALC,NO_CALC,4.541733503341675
50,50,452.0401916503906,NO_CALC,NO_CALC,NO_CALC,3.4577198028564453
51,51,426.19451904296875,NO_CALC,NO_CALC,NO_CALC,3.268213987350464
52,52,395.5590362548828,NO_CALC,NO_CALC,NO_CALC,3.4825825691223145
53,53,365.9843444824219,NO_CALC,NO_CALC,NO_CALC,3.072909116744995
54,54,340.6496887207031,NO_CALC,NO_CALC,NO_CALC,4.380446672439575
55,55,330.74831771850586,NO_CALC,NO_CALC,NO_CALC,3.8152287006378174
56,56,273.98424530029297,NO_CALC,NO_CALC,NO_CALC,3.6204800605773926
57,57,260.1818161010742,NO_CALC,NO_CALC,NO_CALC,2.7725656032562256
