,epoch,reconstruction_err,DA_MAE,DA_ratio_improve_MAE,time_DA(s),time_epoch(s)
0,0,13273.761474609375,NO_CALC,NO_CALC,NO_CALC,2.2752268314361572
1,1,9966.60302734375,NO_CALC,NO_CALC,NO_CALC,1.908174753189087
2,2,8405.17431640625,NO_CALC,NO_CALC,NO_CALC,2.0828068256378174
3,3,7758.868896484375,NO_CALC,NO_CALC,NO_CALC,1.9631614685058594
4,4,7470.356689453125,NO_CALC,NO_CALC,NO_CALC,1.9034173488616943
5,5,7101.861572265625,NO_CALC,NO_CALC,NO_CALC,1.9236550331115723
6,6,6857.818115234375,NO_CALC,NO_CALC,NO_CALC,1.8990345001220703
7,7,6731.324462890625,NO_CALC,NO_CALC,NO_CALC,2.0602612495422363
8,8,6628.716552734375,NO_CALC,NO_CALC,NO_CALC,1.9168674945831299
9,9,6535.678466796875,NO_CALC,NO_CALC,NO_CALC,1.8473753929138184
10,10,6458.317626953125,NO_CALC,NO_CALC,NO_CALC,1.8953697681427002
11,11,6388.3157958984375,NO_CALC,NO_CALC,NO_CALC,1.8703060150146484
12,12,6322.4483642578125,NO_CALC,NO_CALC,NO_CALC,2.1113388538360596
13,13,6264.157958984375,NO_CALC,NO_CALC,NO_CALC,1.9227871894836426
14,14,6224.542236328125,NO_CALC,NO_CALC,NO_CALC,1.8652262687683105
15,15,6161.7647705078125,NO_CALC,NO_CALC,NO_CALC,1.837059497833252
16,16,6141.0035400390625,NO_CALC,NO_CALC,NO_CALC,1.8771741390228271
17,17,6100.8514404296875,NO_CALC,NO_CALC,NO_CALC,1.8282344341278076
18,18,6062.788818359375,NO_CALC,NO_CALC,NO_CALC,1.8792002201080322
19,19,6010.033935546875,NO_CALC,NO_CALC,NO_CALC,1.8936736583709717
20,20,5967.567626953125,NO_CALC,NO_CALC,NO_CALC,1.8598556518554688
21,21,5934.5399169921875,NO_CALC,NO_CALC,NO_CALC,1.813518762588501
22,22,5907.11474609375,NO_CALC,NO_CALC,NO_CALC,1.89644193649292
23,23,5862.3702392578125,NO_CALC,NO_CALC,NO_CALC,1.7821009159088135
24,24,5833.911376953125,NO_CALC,NO_CALC,NO_CALC,1.836122751235962
25,25,5790.7315673828125,NO_CALC,NO_CALC,NO_CALC,1.8569841384887695
26,26,5755.81005859375,NO_CALC,NO_CALC,NO_CALC,1.868934154510498
27,27,5725.15673828125,NO_CALC,NO_CALC,NO_CALC,1.9893269538879395
28,28,5687.458251953125,NO_CALC,NO_CALC,NO_CALC,1.9365105628967285
29,29,5661.463623046875,NO_CALC,NO_CALC,NO_CALC,1.9590301513671875
