,epoch,reconstruction_err,DA_MAE,DA_ratio_improve_MAE,time_DA(s),time_epoch(s)
0,0,13273.761474609375,NO_CALC,NO_CALC,NO_CALC,4.0721964836120605
1,1,9966.60302734375,NO_CALC,NO_CALC,NO_CALC,4.379793643951416
2,2,8405.17431640625,NO_CALC,NO_CALC,NO_CALC,4.387187242507935
3,3,7758.868896484375,NO_CALC,NO_CALC,NO_CALC,3.678776979446411
4,4,7470.356689453125,NO_CALC,NO_CALC,NO_CALC,3.1418263912200928
5,5,7101.861572265625,NO_CALC,NO_CALC,NO_CALC,3.678981065750122
6,6,6857.818115234375,NO_CALC,NO_CALC,NO_CALC,3.684368848800659
7,7,6731.324462890625,NO_CALC,NO_CALC,NO_CALC,3.2474348545074463
8,8,6628.716552734375,NO_CALC,NO_CALC,NO_CALC,2.9211206436157227
9,9,6535.678466796875,NO_CALC,NO_CALC,NO_CALC,3.644351005554199
10,10,6458.317626953125,NO_CALC,NO_CALC,NO_CALC,3.603271245956421
11,11,6388.3157958984375,NO_CALC,NO_CALC,NO_CALC,2.018733501434326
12,12,6322.4483642578125,NO_CALC,NO_CALC,NO_CALC,2.303053140640259
13,13,6264.157958984375,NO_CALC,NO_CALC,NO_CALC,2.9037609100341797
14,14,6224.542236328125,NO_CALC,NO_CALC,NO_CALC,3.1890361309051514
15,15,6161.7647705078125,NO_CALC,NO_CALC,NO_CALC,2.857733726501465
16,16,6141.0035400390625,NO_CALC,NO_CALC,NO_CALC,3.042583703994751
17,17,6100.8514404296875,NO_CALC,NO_CALC,NO_CALC,3.657733678817749
18,18,6062.788818359375,NO_CALC,NO_CALC,NO_CALC,3.095289707183838
19,19,6010.033935546875,NO_CALC,NO_CALC,NO_CALC,3.644594669342041
20,20,5967.567626953125,NO_CALC,NO_CALC,NO_CALC,3.735869884490967
21,21,5934.5399169921875,NO_CALC,NO_CALC,NO_CALC,3.967677116394043
22,22,5907.11474609375,NO_CALC,NO_CALC,NO_CALC,3.487807512283325
23,23,5862.3702392578125,NO_CALC,NO_CALC,NO_CALC,3.4450888633728027
24,24,5833.911376953125,NO_CALC,NO_CALC,NO_CALC,3.150965452194214
25,25,5790.7315673828125,NO_CALC,NO_CALC,NO_CALC,3.663163661956787
26,26,5755.81005859375,NO_CALC,NO_CALC,NO_CALC,2.993351459503174
27,27,5725.15673828125,NO_CALC,NO_CALC,NO_CALC,3.163531541824341
28,28,5687.458251953125,NO_CALC,NO_CALC,NO_CALC,3.4327869415283203
29,29,5661.463623046875,NO_CALC,NO_CALC,NO_CALC,3.543684720993042
30,30,5663.607421875,NO_CALC,NO_CALC,NO_CALC,3.54485821723938
31,31,5589.842041015625,NO_CALC,NO_CALC,NO_CALC,3.3348734378814697
