,epoch,reconstruction_err,DA_MAE,DA_ratio_improve_MAE,time_DA(s),time_epoch(s)
0,0,8514.894409179688,NO_CALC,NO_CALC,NO_CALC,1.393244743347168
1,1,7213.94921875,NO_CALC,NO_CALC,NO_CALC,1.3919975757598877
2,2,4971.90380859375,NO_CALC,NO_CALC,NO_CALC,1.3670189380645752
3,3,3927.990478515625,NO_CALC,NO_CALC,NO_CALC,1.4073662757873535
4,4,2866.12646484375,NO_CALC,NO_CALC,NO_CALC,1.5145397186279297
5,5,2511.3623046875,NO_CALC,NO_CALC,NO_CALC,1.519028663635254
6,6,2372.3795166015625,NO_CALC,NO_CALC,NO_CALC,1.5093250274658203
7,7,2226.970672607422,NO_CALC,NO_CALC,NO_CALC,1.506408452987671
8,8,2106.9598999023438,NO_CALC,NO_CALC,NO_CALC,1.4877398014068604
9,9,2004.6439208984375,NO_CALC,NO_CALC,NO_CALC,1.500502109527588
10,10,1951.1340942382812,NO_CALC,NO_CALC,NO_CALC,1.4875214099884033
11,11,1933.916748046875,NO_CALC,NO_CALC,NO_CALC,1.387514352798462
12,12,1892.3823852539062,NO_CALC,NO_CALC,NO_CALC,1.4219081401824951
13,13,1842.0098266601562,NO_CALC,NO_CALC,NO_CALC,1.353241205215454
14,14,1850.8270263671875,NO_CALC,NO_CALC,NO_CALC,1.4785537719726562
15,15,1793.499267578125,NO_CALC,NO_CALC,NO_CALC,1.491546869277954
16,16,1838.1356201171875,NO_CALC,NO_CALC,NO_CALC,1.4275767803192139
17,17,1786.8878479003906,NO_CALC,NO_CALC,NO_CALC,1.4364283084869385
18,18,1698.7159423828125,NO_CALC,NO_CALC,NO_CALC,1.3677470684051514
19,19,1630.8402709960938,NO_CALC,NO_CALC,NO_CALC,1.3767704963684082
20,20,1466.80908203125,NO_CALC,NO_CALC,NO_CALC,1.4014761447906494
21,21,1336.7215270996094,NO_CALC,NO_CALC,NO_CALC,1.4402589797973633
22,22,1392.4030151367188,NO_CALC,NO_CALC,NO_CALC,1.4302406311035156
23,23,1158.7060852050781,NO_CALC,NO_CALC,NO_CALC,1.3623058795928955
24,24,1248.2245330810547,NO_CALC,NO_CALC,NO_CALC,1.3815886974334717
25,25,958.0374145507812,NO_CALC,NO_CALC,NO_CALC,1.3675098419189453
26,26,945.4949340820312,NO_CALC,NO_CALC,NO_CALC,1.3922655582427979
27,27,718.5319213867188,NO_CALC,NO_CALC,NO_CALC,1.38973069190979
28,28,820.9427642822266,NO_CALC,NO_CALC,NO_CALC,1.3746607303619385
29,29,845.4574890136719,NO_CALC,NO_CALC,NO_CALC,1.378190517425537
30,30,1254.4072723388672,NO_CALC,NO_CALC,NO_CALC,1.3697969913482666
31,31,809.7530364990234,NO_CALC,NO_CALC,NO_CALC,1.3986485004425049
32,32,723.2815093994141,NO_CALC,NO_CALC,NO_CALC,1.4032790660858154
33,33,727.5616149902344,NO_CALC,NO_CALC,NO_CALC,1.4985401630401611
34,34,923.8663635253906,NO_CALC,NO_CALC,NO_CALC,1.4805514812469482
35,35,670.1138916015625,NO_CALC,NO_CALC,NO_CALC,1.4981513023376465
36,36,591.6417999267578,NO_CALC,NO_CALC,NO_CALC,1.5032389163970947
37,37,580.5737457275391,NO_CALC,NO_CALC,NO_CALC,1.5308475494384766
38,38,570.0779418945312,NO_CALC,NO_CALC,NO_CALC,1.4926674365997314
39,39,557.2277374267578,NO_CALC,NO_CALC,NO_CALC,1.4238851070404053
40,40,545.9869537353516,NO_CALC,NO_CALC,NO_CALC,1.4446580410003662
41,41,539.8787384033203,NO_CALC,NO_CALC,NO_CALC,1.4186553955078125
42,42,564.1115570068359,NO_CALC,NO_CALC,NO_CALC,1.4767639636993408
43,43,521.5146484375,NO_CALC,NO_CALC,NO_CALC,1.4043488502502441
44,44,513.8648529052734,NO_CALC,NO_CALC,NO_CALC,1.4072365760803223
45,45,508.4347381591797,NO_CALC,NO_CALC,NO_CALC,1.3536458015441895
46,46,520.0914535522461,NO_CALC,NO_CALC,NO_CALC,1.3814640045166016
47,47,485.0835418701172,NO_CALC,NO_CALC,NO_CALC,1.459414005279541
48,48,478.9358367919922,NO_CALC,NO_CALC,NO_CALC,1.3830275535583496
49,49,509.9380798339844,NO_CALC,NO_CALC,NO_CALC,1.41853666305542
50,50,452.0401916503906,NO_CALC,NO_CALC,NO_CALC,1.379915714263916
51,51,426.19451904296875,NO_CALC,NO_CALC,NO_CALC,1.409510850906372
52,52,395.5590362548828,NO_CALC,NO_CALC,NO_CALC,1.3723063468933105
53,53,365.9843444824219,NO_CALC,NO_CALC,NO_CALC,1.4501643180847168
54,54,340.6496887207031,NO_CALC,NO_CALC,NO_CALC,1.392202377319336
55,55,330.74831771850586,NO_CALC,NO_CALC,NO_CALC,1.370218276977539
56,56,273.98424530029297,NO_CALC,NO_CALC,NO_CALC,1.3759839534759521
57,57,260.1818161010742,NO_CALC,NO_CALC,NO_CALC,1.372715711593628
58,58,246.22715759277344,NO_CALC,NO_CALC,NO_CALC,1.428236961364746
59,59,217.78482055664062,NO_CALC,NO_CALC,NO_CALC,1.385028600692749
60,60,199.65243530273438,NO_CALC,NO_CALC,NO_CALC,1.3919601440429688
61,61,212.0315933227539,NO_CALC,NO_CALC,NO_CALC,1.4376883506774902
62,62,217.81329727172852,NO_CALC,NO_CALC,NO_CALC,1.3911230564117432
63,63,226.2393569946289,NO_CALC,NO_CALC,NO_CALC,1.385585069656372
64,64,230.4419403076172,NO_CALC,NO_CALC,NO_CALC,1.3775403499603271
65,65,214.81328582763672,NO_CALC,NO_CALC,NO_CALC,1.3783700466156006
66,66,244.2327423095703,NO_CALC,NO_CALC,NO_CALC,1.377474069595337
67,67,363.0333557128906,NO_CALC,NO_CALC,NO_CALC,1.3665761947631836
68,68,234.24314880371094,NO_CALC,NO_CALC,NO_CALC,1.3653326034545898
69,69,284.9804039001465,NO_CALC,NO_CALC,NO_CALC,1.410865306854248
70,70,256.0618667602539,NO_CALC,NO_CALC,NO_CALC,1.400458574295044
71,71,189.96481704711914,NO_CALC,NO_CALC,NO_CALC,1.3671536445617676
72,72,210.23809051513672,NO_CALC,NO_CALC,NO_CALC,1.3612518310546875
73,73,233.18762969970703,NO_CALC,NO_CALC,NO_CALC,1.3875913619995117
74,74,282.76768493652344,NO_CALC,NO_CALC,NO_CALC,1.4032182693481445
75,75,210.87868118286133,NO_CALC,NO_CALC,NO_CALC,1.4256761074066162
76,76,233.24567794799805,NO_CALC,NO_CALC,NO_CALC,1.4963703155517578
77,77,227.19283294677734,NO_CALC,NO_CALC,NO_CALC,1.541163444519043
78,78,193.38996505737305,NO_CALC,NO_CALC,NO_CALC,1.4936206340789795
79,79,201.9902114868164,NO_CALC,NO_CALC,NO_CALC,1.4543559551239014
80,80,235.26786041259766,NO_CALC,NO_CALC,NO_CALC,1.4230122566223145
81,81,192.61653518676758,NO_CALC,NO_CALC,NO_CALC,1.4899420738220215
82,82,214.4235076904297,NO_CALC,NO_CALC,NO_CALC,1.384373426437378
83,83,235.59182739257812,NO_CALC,NO_CALC,NO_CALC,1.384720802307129
84,84,180.7662124633789,NO_CALC,NO_CALC,NO_CALC,1.4393208026885986
85,85,217.58531188964844,NO_CALC,NO_CALC,NO_CALC,1.3685991764068604
86,86,186.6200942993164,NO_CALC,NO_CALC,NO_CALC,1.4145302772521973
87,87,161.6853485107422,NO_CALC,NO_CALC,NO_CALC,1.4292151927947998
88,88,166.76962661743164,NO_CALC,NO_CALC,NO_CALC,1.3691318035125732
89,89,161.269287109375,NO_CALC,NO_CALC,NO_CALC,1.3899579048156738
90,90,161.0651741027832,NO_CALC,NO_CALC,NO_CALC,1.4058668613433838
91,91,162.42203903198242,NO_CALC,NO_CALC,NO_CALC,1.4086651802062988
92,92,184.35968399047852,NO_CALC,NO_CALC,NO_CALC,1.400831699371338
93,93,163.1712188720703,NO_CALC,NO_CALC,NO_CALC,1.3754558563232422
94,94,167.1259307861328,NO_CALC,NO_CALC,NO_CALC,1.5096721649169922
95,95,140.6671199798584,NO_CALC,NO_CALC,NO_CALC,1.3758480548858643
96,96,170.02483749389648,NO_CALC,NO_CALC,NO_CALC,1.398176670074463
97,97,155.2176742553711,NO_CALC,NO_CALC,NO_CALC,1.3781180381774902
98,98,137.10676193237305,NO_CALC,NO_CALC,NO_CALC,1.4337434768676758
99,99,145.1178436279297,NO_CALC,NO_CALC,NO_CALC,1.3882393836975098
100,100,134.43765258789062,NO_CALC,NO_CALC,NO_CALC,1.4500713348388672
101,101,126.74359512329102,NO_CALC,NO_CALC,NO_CALC,1.4597275257110596
102,102,134.04764556884766,NO_CALC,NO_CALC,NO_CALC,1.528092622756958
103,103,115.9616584777832,NO_CALC,NO_CALC,NO_CALC,1.4855468273162842
