,percent_improvement,ref_MAE_mean,da_MAE_mean,counts,mse_ref,mse_DA,mse_ref_points,mse_da_points,mse_ref_overlap,mse_da_overlap,mse_percent_points,mse_percent_overlap,time_overlap,time_saving_uc,time_saving_da,time_saving_u0,l1_loss,l2_loss,time,time_online
33,93.51178749943311,0.00750347330943625,0.00048684129323954295,14484,0.8947663106631041,0.05713091931664817,3.437178513610572e-05,2.1946419528521883e-06,0.8952954610292742,0.05691436201891553,93.61498989894815,93.64295202016504,-0.003148317337036133,2.384185791015625e-07,2.384185791015625e-07,2.384185791015625e-07,6199.9385,4367.127,0.2133333683013916,0.20636653900146484
34,93.84952338590355,0.007500511617477111,0.00046131721297051697,14334,0.895236982244164,0.053587256212261444,3.438986563630009e-05,2.0585147592294656e-06,0.8957692083805208,0.05333758814056821,94.01418202385587,94.04561044948193,-0.003134012222290039,2.384185791015625e-07,0.0,2.384185791015625e-07,6312.971,4791.2534,0.23263168334960938,0.22565793991088867
35,94.54516908717571,0.007499002648280074,0.00040905791461189365,13815,0.8959718364573245,0.046738738869087804,3.441809451664584e-05,1.7954340376877614e-06,0.8965081128495914,0.04637963276069812,94.78345892501567,94.82663546531907,-0.003160715103149414,2.384185791015625e-07,2.384185791015625e-07,0.0,6303.281,4993.2476,0.18876075744628906,0.18178153038024902
36,94.94042208882188,0.0074991899487068326,0.00037942735816206137,13778,0.8970398434897312,0.04329821861255067,3.4459121215800984e-05,1.6632690001748107e-06,0.897581246365765,0.0427925532202949,95.17321120942536,95.23245907893481,-0.003129720687866211,2.384185791015625e-07,2.384185791015625e-07,0.0,6072.585,4777.1494,0.18857860565185547,0.18167614936828613
37,94.79055361070441,0.007501411236942523,0.00039078199682911533,13802,0.8984829557649683,0.04483134494163893,3.451455730504641e-05,1.722162912632104e-06,0.8990305694794452,0.044216575801906924,95.01032883773856,95.08174946403557,-0.0031223297119140625,2.384185791015625e-07,0.0,2.384185791015625e-07,5683.983,4219.4463,0.18656110763549805,0.1796560287475586
38,94.50471123612404,0.007505938055452218,0.000412472970584756,14195,0.9003704385768704,0.04856453296262077,3.458706355934505e-05,1.865570565558573e-06,0.9009253615142517,0.047898875207233675,94.60616087758477,94.68336920533278,-0.003088712692260742,2.384185791015625e-07,0.0,4.76837158203125e-07,5256.166,3622.5852,0.1551532745361328,0.14827537536621094
39,94.267536964865,0.007512338807056122,0.0004306420451885937,14366,0.9027035546910541,0.053012461696429404,3.4676688486902815e-05,2.03643445361207e-06,0.903266681798485,0.05230606680974922,94.12736757034565,94.20923323490653,-0.003122091293334961,2.384185791015625e-07,0.0,2.384185791015625e-07,4914.229,3147.7422,0.16197800636291504,0.15507078170776367
40,94.50824204257302,0.007520303165753143,0.0004129968475278815,13922,0.9053976941429536,0.056862386300787736,3.478018185859533e-05,2.1843264559306905e-06,0.9059695038388336,0.05609070893103229,93.71962324748203,93.80876412579441,-0.0031228065490722656,2.384185791015625e-07,2.384185791015625e-07,2.384185791015625e-07,4728.1577,2866.6646,0.18032455444335938,0.1733386516571045
41,94.01473293660098,0.007529630966365794,0.000450668522225385,13854,0.9083787120507821,0.06474265055650606,3.489469545370245e-05,2.4870409709782598e-06,0.9089593036582494,0.06398393311407452,92.87272481206203,92.9607483133116,-0.0031294822692871094,2.384185791015625e-07,0.0,2.384185791015625e-07,4688.8843,2781.0962,0.20164799690246582,0.19467806816101074
42,92.97452244406786,0.007539711093838525,0.0005297007106797514,13979,0.9115892752583088,0.07655466002758603,3.5018026861490045e-05,2.940790566517595e-06,0.9121784210987445,0.07585330387146291,91.60206662085912,91.68437861311217,-0.0031211376190185547,2.384185791015625e-07,0.0,2.384185791015625e-07,4734.4824,2826.1145,0.2237391471862793,0.216813325881958
43,92.96762176251619,0.007551222092065655,0.0005310304990664956,13882,0.9148819656939812,0.07886434938315987,3.5144513125921217e-05,3.0295155724938487e-06,0.9154789785287695,0.07814842874101288,91.3798334276556,91.463656667835,-0.003114461898803711,4.76837158203125e-07,0.0,2.384185791015625e-07,4800.583,2941.0916,0.20225024223327637,0.19541358947753906
44,92.37869478105098,0.007562481139539643,0.0005763597697697699,13880,0.9181076600721987,0.08803494865796917,3.526842578642435e-05,3.381797351642946e-06,0.9187114089319081,0.08737435037472001,90.41126084809639,90.48946714656552,-0.0030765533447265625,4.76837158203125e-07,2.384185791015625e-07,2.384185791015625e-07,4873.081,3066.1658,0.22917509078979492,0.22228670120239258
45,91.60712602360863,0.00757299448055483,0.0006355918829920415,14019,0.9211587332641334,0.100823043024987,3.538563050338558e-05,3.873042525544983e-06,0.9217678704150715,0.1002537015980583,89.05475903509922,89.12375828928445,-0.003111124038696289,2.384185791015625e-07,0.0,2.384185791015625e-07,4920.4517,3168.3508,0.19139456748962402,0.18449735641479492
46,90.93283467520651,0.0075873876553934246,0.000687960982547494,14327,0.9238998493847997,0.11089683194050325,3.549092844901658e-05,4.2600196658152755e-06,0.9245128602901822,0.11040657629724755,87.99687736562068,88.0578647372635,-0.0030908584594726562,4.76837158203125e-07,0.0,2.384185791015625e-07,4963.5596,3246.7952,0.19157886505126953,0.1847085952758789
47,90.34296699375265,0.007603812694716124,0.000734302701661962,14840,0.926259401244106,0.1177037868774208,3.558156888614421e-05,4.521503798302888e-06,0.9268747226824289,0.11727699867703392,87.29256764149149,87.34704962741593,-0.0031156539916992188,4.76837158203125e-07,0.0,2.384185791015625e-07,5025.863,3325.553,0.23063135147094727,0.22365927696228027
48,88.67144191226691,0.007617248209110949,0.0008629243880559417,14727,0.9282260451489829,0.13254902985271447,3.5657116055200634e-05,5.091772812412203e-06,0.9288421923855695,0.1322088755977938,85.72017769319972,85.76627152797201,-0.003101825714111328,2.384185791015625e-07,2.384185791015625e-07,0.0,5104.646,3438.9458,0.17272114753723145,0.1658322811126709
49,89.46005948921227,0.007627830910155235,0.0008039688401938406,14779,0.9298248819007795,0.1349048468361292,3.571853418487936e-05,5.182269777048601e-06,0.9304405556936197,0.13462140614160717,85.49137052986235,85.53143397309779,-0.0031456947326660156,2.384185791015625e-07,0.0,2.384185791015625e-07,5223.72,3576.0667,0.18104004859924316,0.1737842559814453
