,epoch,reconstruction_err,DA_MAE,DA_ratio_improve_MAE,time_DA(s),time_epoch(s)
0,0,15712.59130859375,NO_CALC,NO_CALC,NO_CALC,0.8921637535095215
1,1,14120.9873046875,NO_CALC,NO_CALC,NO_CALC,0.8837463855743408
2,2,11303.25244140625,NO_CALC,NO_CALC,NO_CALC,0.8031773567199707
3,3,8592.620361328125,NO_CALC,NO_CALC,NO_CALC,0.7716033458709717
4,4,6112.8016357421875,NO_CALC,NO_CALC,NO_CALC,0.7788128852844238
5,5,4064.5272827148438,NO_CALC,NO_CALC,NO_CALC,0.8222434520721436
6,6,3009.631103515625,NO_CALC,NO_CALC,NO_CALC,0.7069880962371826
7,7,2456.4478759765625,NO_CALC,NO_CALC,NO_CALC,0.7608745098114014
8,8,1901.089599609375,NO_CALC,NO_CALC,NO_CALC,0.7723610401153564
9,9,1463.4436950683594,NO_CALC,NO_CALC,NO_CALC,0.7586660385131836
10,10,1183.8475646972656,NO_CALC,NO_CALC,NO_CALC,0.728480339050293
11,11,1058.9527587890625,NO_CALC,NO_CALC,NO_CALC,0.7783267498016357
12,12,957.9892883300781,NO_CALC,NO_CALC,NO_CALC,0.7714583873748779
13,13,802.0085906982422,NO_CALC,NO_CALC,NO_CALC,0.799403190612793
14,14,678.3851928710938,NO_CALC,NO_CALC,NO_CALC,0.7903363704681396
15,15,632.5572357177734,NO_CALC,NO_CALC,NO_CALC,0.7657935619354248
16,16,633.6473388671875,NO_CALC,NO_CALC,NO_CALC,0.767524003982544
17,17,705.0500183105469,NO_CALC,NO_CALC,NO_CALC,0.7984817028045654
18,18,582.1941375732422,NO_CALC,NO_CALC,NO_CALC,0.764498233795166
19,19,542.9732360839844,NO_CALC,NO_CALC,NO_CALC,0.8062591552734375
20,20,574.9777526855469,NO_CALC,NO_CALC,NO_CALC,0.7577564716339111
21,21,560.7664184570312,NO_CALC,NO_CALC,NO_CALC,1.1482343673706055
22,22,471.01145935058594,NO_CALC,NO_CALC,NO_CALC,1.005910873413086
23,23,453.54249572753906,NO_CALC,NO_CALC,NO_CALC,1.2414441108703613
24,24,450.40869903564453,NO_CALC,NO_CALC,NO_CALC,1.3028485774993896
25,25,466.0835266113281,NO_CALC,NO_CALC,NO_CALC,1.3767786026000977
26,26,432.8537902832031,NO_CALC,NO_CALC,NO_CALC,1.4090712070465088
27,27,403.5650939941406,NO_CALC,NO_CALC,NO_CALC,1.3569514751434326
28,28,379.0506134033203,NO_CALC,NO_CALC,NO_CALC,1.1522221565246582
29,29,392.8276672363281,NO_CALC,NO_CALC,NO_CALC,1.3279221057891846
30,30,457.66502380371094,NO_CALC,NO_CALC,NO_CALC,1.3494107723236084
31,31,417.3035888671875,NO_CALC,NO_CALC,NO_CALC,1.3027708530426025
32,32,384.3238754272461,NO_CALC,NO_CALC,NO_CALC,1.4488959312438965
33,33,408.8500747680664,NO_CALC,NO_CALC,NO_CALC,1.1726558208465576
34,34,399.41883087158203,NO_CALC,NO_CALC,NO_CALC,1.2245807647705078
35,35,505.6183166503906,NO_CALC,NO_CALC,NO_CALC,1.172593355178833
36,36,545.8585052490234,NO_CALC,NO_CALC,NO_CALC,1.390289545059204
37,37,572.4293823242188,NO_CALC,NO_CALC,NO_CALC,1.3126943111419678
38,38,456.68045806884766,NO_CALC,NO_CALC,NO_CALC,1.3629071712493896
39,39,451.0366439819336,NO_CALC,NO_CALC,NO_CALC,1.470426321029663
40,40,404.5417175292969,NO_CALC,NO_CALC,NO_CALC,1.2977745532989502
