,epoch,reconstruction_err,DA_MAE,DA_ratio_improve_MAE,time_DA(s),time_epoch(s)
0,0,20295.6787109375,NO_CALC,NO_CALC,NO_CALC,0.8281445503234863
1,1,18380.60107421875,NO_CALC,NO_CALC,NO_CALC,0.7279675006866455
2,2,15164.569091796875,NO_CALC,NO_CALC,NO_CALC,0.7042086124420166
3,3,10574.044677734375,NO_CALC,NO_CALC,NO_CALC,0.8032300472259521
4,4,6726.9864501953125,NO_CALC,NO_CALC,NO_CALC,0.733168363571167
5,5,4317.185546875,NO_CALC,NO_CALC,NO_CALC,0.7159020900726318
6,6,2241.731414794922,NO_CALC,NO_CALC,NO_CALC,0.7512669563293457
7,7,1240.2211608886719,NO_CALC,NO_CALC,NO_CALC,0.7115788459777832
8,8,845.3117523193359,NO_CALC,NO_CALC,NO_CALC,0.7251224517822266
9,9,653.8317565917969,NO_CALC,NO_CALC,NO_CALC,0.7679562568664551
10,10,513.9784927368164,NO_CALC,NO_CALC,NO_CALC,0.7086918354034424
11,11,377.3854217529297,NO_CALC,NO_CALC,NO_CALC,0.723513126373291
12,12,269.46321868896484,NO_CALC,NO_CALC,NO_CALC,0.725217342376709
13,13,188.21809005737305,NO_CALC,NO_CALC,NO_CALC,0.7530274391174316
14,14,135.51434326171875,NO_CALC,NO_CALC,NO_CALC,0.7104558944702148
15,15,105.30160140991211,NO_CALC,NO_CALC,NO_CALC,0.7182250022888184
16,16,87.49298477172852,NO_CALC,NO_CALC,NO_CALC,0.72458815574646
17,17,73.20147895812988,NO_CALC,NO_CALC,NO_CALC,0.7285945415496826
18,18,62.12109661102295,NO_CALC,NO_CALC,NO_CALC,0.748089075088501
19,19,53.41450595855713,NO_CALC,NO_CALC,NO_CALC,0.7284743785858154
20,20,46.64213180541992,NO_CALC,NO_CALC,NO_CALC,0.6989486217498779
21,21,41.78007793426514,NO_CALC,NO_CALC,NO_CALC,0.7269842624664307
22,22,39.44769287109375,NO_CALC,NO_CALC,NO_CALC,0.7184183597564697
23,23,36.30414581298828,NO_CALC,NO_CALC,NO_CALC,0.7249226570129395
24,24,34.25600481033325,NO_CALC,NO_CALC,NO_CALC,0.7057061195373535
25,25,32.96418380737305,NO_CALC,NO_CALC,NO_CALC,0.7156617641448975
26,26,32.13216829299927,NO_CALC,NO_CALC,NO_CALC,0.7106976509094238
27,27,31.267005443572998,NO_CALC,NO_CALC,NO_CALC,0.7388091087341309
28,28,30.82941961288452,NO_CALC,NO_CALC,NO_CALC,0.7180852890014648
29,29,30.50781488418579,NO_CALC,NO_CALC,NO_CALC,0.7174663543701172
30,30,31.118942737579346,NO_CALC,NO_CALC,NO_CALC,0.7414183616638184
31,31,30.135505437850952,NO_CALC,NO_CALC,NO_CALC,0.6872570514678955
32,32,29.80194854736328,NO_CALC,NO_CALC,NO_CALC,0.720221757888794
33,33,29.39947134256363,NO_CALC,NO_CALC,NO_CALC,0.7284274101257324
34,34,30.11164617538452,NO_CALC,NO_CALC,NO_CALC,0.7447719573974609
35,35,30.903108835220337,NO_CALC,NO_CALC,NO_CALC,0.6978020668029785
36,36,29.486276149749756,NO_CALC,NO_CALC,NO_CALC,0.7795717716217041
37,37,29.039159774780273,NO_CALC,NO_CALC,NO_CALC,0.7557458877563477
38,38,29.101482391357422,NO_CALC,NO_CALC,NO_CALC,0.7325625419616699
39,39,29.062734365463257,NO_CALC,NO_CALC,NO_CALC,0.69809889793396
40,40,30.177115440368652,NO_CALC,NO_CALC,NO_CALC,0.7102687358856201
41,41,29.353782415390015,NO_CALC,NO_CALC,NO_CALC,0.6956911087036133
42,42,29.065330505371094,NO_CALC,NO_CALC,NO_CALC,0.683629035949707
43,43,29.214055061340332,NO_CALC,NO_CALC,NO_CALC,0.764946699142456
44,44,29.21872901916504,NO_CALC,NO_CALC,NO_CALC,0.7330424785614014
45,45,29.20842456817627,NO_CALC,NO_CALC,NO_CALC,0.7159135341644287
46,46,29.564124584197998,NO_CALC,NO_CALC,NO_CALC,0.7167468070983887
47,47,29.053624153137207,NO_CALC,NO_CALC,NO_CALC,0.7783238887786865
48,48,29.66338872909546,NO_CALC,NO_CALC,NO_CALC,0.7184581756591797
